 2075100 | 16Bm07 Jan 30 01:12:27 17 | 17AP30 Nr0073_3  | 12:20:57.6  29:40:01 2000 | 184 | r | 1.32 | 0.92 0.93   554 |    OG12 |   OB219 |P 3 O Q R|
 2075370 | 16Bm07 Jan 30 23:57:37 17 | 17AP30 Nr0051_3  | 10:42:24.0  29:40:01 2000 |  30 | r | 1.21 | 0.51 0.53    76 |     OG3 |   OB153 |P 1 V Q R|
 2075371 | 16Bm07 Jan 30 23:58:51 17 | 17AP30 Nr0051_3  | 10:42:24.0  29:40:01 2000 |  30 | r | 1.21 | 0.56 0.60    76 |     OG3 |   OB153 |P 1 V Q R|
 2075372 | 16Bm07 Jan 31 00:01:16 17 | 17AP30 Nr0051_3  | 10:42:24.0  29:40:01 2000 | 100 | r | 1.20 | 0.50 0.53   252 |     OG3 |   OB153 |P 1 V Q R|
 2075373 | 16Bm07 Jan 31 00:07:01 17 | 17AP30 Nr0052_3  | 10:46:52.8  29:40:01 2000 | 300 | r | 1.21 | 0.50 0.53   752 |     OG3 |   OB156 |P 1 V Q R|
 2075374 | 16Bm07 Jan 31 00:12:46 17 | 17AP30 Nr0053_3  | 10:51:21.6  29:40:01 2000 | 300 | r | 1.21 | 0.51 0.53   731 |     OG3 |   OB159 |P 1 V Q R|
 2075375 | 16Bm07 Jan 31 00:18:31 17 | 17AP30 Nr0054_3  | 10:55:50.4  29:40:01 2000 | 300 | r | 1.20 | 0.51 0.53   727 |     OG3 |   OB162 |P 1 V Q R|
 2075376 | 16Bm07 Jan 31 00:24:16 17 | 17AP30 Nr0055_3  | 11:00:19.2  29:40:01 2000 | 300 | r | 1.20 | 0.52 0.55   720 |     OG3 |   OB165 |P 1 V Q R|
 2075377 | 16Bm07 Jan 31 00:30:01 17 | 17AP30 Nr0056_3  | 11:04:48.0  29:40:01 2000 | 300 | r | 1.20 | 0.51 0.54   706 |     OG3 |   OB168 |P 1 V Q R|
 2075378 | 16Bm07 Jan 31 00:35:46 17 | 17AP30 Nr0057_3  | 11:09:16.8  29:40:01 2000 | 300 | r | 1.19 | 0.52 0.54   698 |     OG3 |   OB171 |P 1 V Q R|
 2075379 | 16Bm07 Jan 31 00:38:13 17 | 17AP30 Nr0217_1  | 11:44:45.6  30:58:48 2000 | 100 | r | 1.29 | 0.71 0.73   226 |    OG43 |   OB649 |P 1 V Q R|
 2075380 | 16Bm07 Jan 31 00:40:41 17 | 17AP30 Nr0218_1  | 11:49:16.8  30:58:48 2000 | 103 | r | 1.30 | 0.58 0.60   232 |    OG43 |   OB652 |P 1 V Q R|
 2075381 | 16Bm07 Jan 31 00:43:16 17 | 17AP30 Nr0219_1  | 11:53:48.0  30:58:48 2000 | 110 | r | 1.31 | 0.56 0.58   246 |    OG43 |   OB655 |P 1 V Q R|
 2075382 | 16Bm07 Jan 31 00:46:03 17 | 17AP30 Nr0220_1  | 11:58:19.2  30:58:48 2000 | 122 | r | 1.32 | 0.56 0.58   272 |    OG43 |   OB658 |P 1 V Q R|
 2075383 | 16Bm07 Jan 31 00:48:52 17 | 17AP30 Nr0221_1  | 12:02:50.4  30:58:48 2000 | 104 | r | 1.32 | 0.71 0.73   230 |    OG43 |   OB661 |P 1 V Q R|
 2075384 | 16Bm07 Jan 31 00:51:33 17 | 17AP30 Nr0222_1  | 12:07:21.6  30:58:48 2000 | 114 | r | 1.33 | 0.52 0.55   248 |    OG43 |   OB664 |P 1 V Q R|
 2075385 | 16Bm07 Jan 31 00:54:06 17 | 17AP30 Nr0223_1  | 12:11:52.8  30:58:48 2000 | 108 | r | 1.34 | 0.53 0.56   231 |    OG43 |   OB667 |P 1 V Q R|
 2075386 | 16Bm07 Jan 31 00:56:33 17 | 17AP30 Nr0369_1  | 11:47:16.8  31:57:36 2000 | 102 | r | 1.24 | 0.51 0.54   214 |    OG79 |  OB1105 |P 1 V Q R|
 2075387 | 16Bm07 Jan 31 00:58:59 17 | 17AP30 Nr0370_1  | 11:51:50.4  31:57:36 2000 | 100 | r | 1.25 | 0.56 0.58   207 |    OG79 |  OB1108 |P 1 V Q R|
 2075388 | 16Bm07 Jan 31 01:01:25 17 | 17AP30 Nr0371_1  | 11:56:24.0  31:57:36 2000 | 100 | r | 1.25 | 0.50 0.53   207 |    OG79 |  OB1111 |P 1 V Q R|
